| Date           | Hashrate (MH/s)                                            |
| -------------- | ---------------------------------------------------------- |
| **2009-06-22** | 3.8                                                        |
| 2009-06-21     | 4.0                                                        |
| 2009-06-20     | 4.1                                                        |
| 2009-06-19     | 4.0                                                        |
| 2009-06-18     | 3.9                                                        |
| 2009-06-17     | 3.6                                                        |
| 2009-06-16     | 3.8                                                        |
| 2009-06-15     | 3.4                                                        |
| 2009-06-14     | 3.5                                                        |
| 2009-06-13     | 3.7                                                        |
| 2009-06-12     | 4.2                                                        |
| 2009-06-11     | 4.3                                                        |
| 2009-06-10     | 4.1                                                        |
| 2009-06-09     | 3.8                                                        |
| 2009-06-08     | 1.9                                                        |
| 2009-06-07     | 1.7                                                        |
| 2009-06-06     | 2.4                                                        |
| 2009-06-05     | 3.5                                                        |
| 2009-06-04     | 3.8                                                        |
| 2009-06-03     | 5.0                                                        |
| 2009-06-02     | 4.2                                                        |
| 2009-06-01     | 5.0                                                        |
| …              | … *(all intermediate days in June follow the same method)* |
| 2009-05-31     | 5.7                                                        |
| 2009-05-30     | 5.3                                                        |
| 2009-05-29     | 5.2                                                        |
| 2009-05-28     | 5.4                                                        |
| 2009-05-27     | 6.3                                                        |
| 2009-05-26     | 5.7                                                        |
| 2009-05-25     | 5.0                                                        |
| 2009-05-24     | 3.2                                                        |
| 2009-05-23     | 2.7                                                        |
| 2009-05-22     | 4.0                                                        |
| 2009-05-21     | 6.0                                                        |
| 2009-05-20     | 5.3                                                        |
| 2009-05-19     | 5.9                                                        |
| 2009-05-18     | 6.1                                                        |
| 2009-05-17     | 5.8                                                        |
| 2009-05-16     | 6.2                                                        |
| 2009-05-15     | 7.0                                                        |
| 2009-05-14     | 6.0                                                        |
| 2009-05-13     | 6.0                                                        |
| 2009-05-12     | 6.1                                                        |
| 2009-05-11     | 5.1                                                        |
| 2009-05-10     | 3.2                                                        |
| …              | …                                                          |
| 2009-04-05     | 6.5                                                        |
| 2009-04-01     | 5.2                                                        |
| …              | …                                                          |
| 2009-03-07     | 5.5                                                        |
| 2009-03-01     | 4.6                                                        |
| …              | …                                                          |
| 2009-02-14     | 6.5                                                        |
| 2009-02-01     | 7.5                                                        |
| 2009-01-31     | 7.4                                                        |
| 2009-01-25     | 9.5 *(first big spike)*                                    |
| 2009-01-15     | 6.1                                                        |
| 2009-01-14     | 6.0                                                        |
| 2009-01-12     | 4.5                                                        |
| 2009-01-11     | 1.0                                                        |
| 2009-01-10     | 0.2                                                        |
| **2009-01-09** | 0.0689625                                                        |
